(D)1. 下列何者非行政程序法第一條之立法目的？
(B)460. 依行政程序法之規定，違法授益處分之職權撤銷，其撤銷權行使之除斥期間為：
(A) l年
(B) 2年
(C) 3年
(D) 4年

(B)461. 下列有關行政法上時效之敘述，何者錯誤？
(A) 人民對行政機關之公法上請求權，除法律另有規定外，超過10年不行使即消滅
(B) 合法授益行政處分之廢止，應自廢止原因發生後5年內為之
(C) 公法上之請求權，於請求權人為行政機關時，除法律另有規定外因5年間不行使而消滅
(D) 行政機關對違法行政處分之撤銷權，自處分機關知有撤銷原因時應於2年內為之

(C)462. 關於違法行政處分之敘述，下列何者錯誤？
(A) 違法行政處分之撤銷，應自原處分機關知有撤銷原因時起2年內為之
(B) 違法行政處分經撤銷後，為維護公益，為撤銷之機關得另定失其效力之日期
(C) 違法行政處分於法定救濟期間經過後，即不得由原處分機關予以撤銷
(D) 違法行政處分經撤銷後，如受益人之信賴值得保護，應就其財產上之損失給予補償

(A)463. 依行政程序法規定，關於行政機關依職權撤銷違法行政處分之敘述，下列何者錯誤？
(A) 法定救濟期間經過後，不得撤銷
(B) 原處分機關或其上級機關得依職權為全部或一部之撤銷
(C) 撤銷對公益有重大危害者，不得撤銷
(D) 該處分之受益人具備信賴保護要件，且其信賴利益顯然大於撤銷所欲維護之公益者，不得撤銷

(D)464. 關於行政處分撤銷之敘述，下列何者錯誤？
(A) 不論是授益處分或負擁處分，凡撤銷對公益有重大危害者，均不得為之
(B) 信賴利益顯然大於依法行政原則所欲維持之公益時，不得撤銷該授益處分
(C) 信賴保護之前提為受益人須有信賴表現
(D) 撤銷授益處分，無須給予相對人損失補償

(D)465. 依據行政程序法第122條規定，非授予利益之合法行政處分之廢止，下列何者錯誤?
(A) 原則上，得由原處分機關依職權為全部或一部之廢止
(B) 廢止後，依法行政機關應重新為相同內容之行政處分者，則不得廢止
(C) 依法令、一般法律原則或行政規則等其他原因不許廢止者，則不得廢止
(D) 對受益人因信賴該處分致遭受財產上之損失，應給予合理之補償

(D)466. 非授予利益之合法行政處分，得由何機關依職權為全部或一部之廢止？
(A) 司法機關
(B) 警察機關
(C) 原處分機關之上級機關
(D) 原處分機關

(B)467. 原處分機關依職權撤銷行政處分時，該「撤銷」之性質為下列何者？
(A) 行政指導
(B) 行政處分
(C) 觀念通知
(D) 程序行為

(A)468. 有關非授予利益處分之廢止，下列敘述何者錯誤？
(A) 處分之廢止，不得溯及既往失其效力
(B) 廢止得就處分之全部或一部為之
(C) 廢止後仍應為同一內容之處分或依法不得廢止者，不得廢止
(D) 裁量處分之廢止，亦須考量裁量之法定要件

(A)469. 合法行政處分因公益上之理由必須終止其效力時，稱為？
(A) 廢止
(B) 撤銷
(C) 變更
(D) 補正

(A)470. 下列何者並非得廢止合法授益處分之事由？
(A) 行政處分有瑕疵
(B) 法規修改
(C) 附事實發生後變更
(D) 為防止或除去對公益之重大危害

(D)471. 授予利益之合法行政處分，有下列何種情形，得由原處分機關依職權為全部或一雙工靈上？
(A) 准許廢止者
(B) 原處分機關保留行政處分之廢止權者
(C) 負擔之行政處分，受益人未履行該負擔者
(D) 以上皆是

(D)472. 授予利益之合法行政處分，有下列何種情形，不得由原處分機關依職權為全部或一部之廢止?
(A) 其他為防止或除去對公益之重大危害者
(B) 因原處分機關保留行政處分之廢止權者
(C) 負擔之行政處分，受益人未履行該負擔者
(D) 行政處分所依據之法規或事實事後發生變更，致不廢止該處分對公益尚無危害者

(C)473. 授益處分之受益人有下列那一種情形者，則行政機關不得撤銷該授益處分？
(A) 以詐欺、脅迫或賄賂方法，使行政機關作成該授益處分者
(B) 對重要事項提供不正確資料或為不完全陳述，致行政機關依該資料或陳述而作成行政處分者
(C) 受益人之信賴利益顯然大於撤銷所欲維護之公益者
(D) 明知該授益處分違法或因重大過失而不知者

(A)474. 下列何者並非得廢止合法授益處分之事由？
(A) 原處分違法
(B) 法規准許廢止
(C) 附負擔之行政處分，受益人未履行該負擔
(D) 為防止或除去對公益之重大危害

(C)475. 下列何者並非行政程序法第123條規定得廢止授益處分之原因？
(A) 附負擔之行政處分，受益人未履行該負擔者
(B) 原處分機關保留行政處分之廢止權者
(C) 行政機關裁量違法者
(D) 行政處分所依據之法規或事實事後發生變更，致不廢止該處分對公益將有危害者

(D)476. 下列關於合法授益行政處分廢止之敘述，何者錯誤？
(A) 應同時考量法治國家法律安定與信賴保護之要求
(B) 原處分機關保留行政處分之廢止權者，亦得為之
(C) 附負擔之行政處分而受益人未履行該負擔者，亦得為之
(D) 行政處分依據之行政規則事後發生變更者，亦得為之

(B)477. 授予利益之合法行政處分，所依據之法規或事實事後發生變更，原處分機關依職權得為下列何種處置？
(A) 撤銷原行政處分
(B) 廢止原行政處分
(C) 為程序上之補正
(D) 確認該行政處分無效

(B)478. 下列關於違法授益行政處分撤銷之敘述，何者錯誤？
(A) 法定救濟期間經過後，原處分機關仍得依職權為全部或一部之撤銷
(B) 基於依法行政原則之要求'原處分機關應一律撤銷違法之授益行政處分
(C) 行政處分經撤銷確定，行政機關得命相對人返還發給之證書
(D) 行政處分因撤銷而溯及既往失效時，自該處分失效時起，已中斷之時效視為不中斷

(D)479. 依行政程序法規定，行政機關廢止授益處分時，於下列何種情形，應給予受益人損失補償？
(A) 法規准許廢止
(B) 原處分機關保留行政處分之廢止權
(C) 附負擔之行政處分，受益人未履行該負擔
(D) 為防止或除去對公益之重大危害

(D)480. 依行政程序法規定，合法授益處分之廢止事由，不包括下列何者？
(A) 法規准許廢止者
(B) 原處分機關保留行政處分之廢止權者
(C) 附負擔之行政處分，受益人未履行該負擔者
(D) 處分機關事後發現原處分作成時違法者

(D)481. 依行政程序法規定，關於授予利益之合法行政處分，其廢止之理由不包括下列何者？
(A) 附負擔之行政處分'受益人未履行該負擔
(B) 原處分機關保留行政處分之廢止權
(C) 為防止或除去對公益之重大危害
(D) 受益人對重要事項提供不正確資料

(B)482. 授予利益之合法行政處分-有行政程序法規定情形者，得由原處分機關於廢止原因發生後多久時間內，依職權為全部或一部之廢止：
(A) 1年
(B) 2年心
(C) 3年
(D) 5年

(C)483. 授予利益之合法行政處分，有發生准許廢止情形者，得由原處分機關依職權為全部或一部之廢止，然此項廢止應自廢止原因發生後多久期限內為之？
(A) 半年
(B) —年
(C) 二年
(D) 三年

(C)484. 依據我國行政程序法之規定，下列有關授予利益之行政處分的敘述，何者錯誤？
(A) 授予利益之違法行政處分經撤銷後，如受益人無信賴不值得保護之情形，其因信賴該處分致遭受財產上之損失者，為撤銷之機關應給予合理之補償
(B) 授予利益之合法行政處分，經法規准許廢止者，得由原處分機關依職權為全部或一部之廢止
(C) 授予利益之合法行政處分之廢止，應自廢止原因發生後一年內為之
(D) 對於授予利益之違法行政處分產生之補償爭議及補償金額，相對人有不服者，得向行政法院提起給付訴訟

(B)485. 依據行政程序法規定，授予利益之合法行政處分之廢止，應自廢止原因發生後幾年內為之？
(A) l年
(B) 2年
(C) 3年
(D) 4年

(B)486. 依行政程序法第124條規定，授予利益之合法行政處分，原處分機關保留行政處分之廢止權者，得由原處分機關依職權為全部或一部之廢止。廢止，應自廢止原因發生後幾年內為之？
(A) 1年
(B) 2年
(C) 3年
(D) 4年

(A)487. 授予利益之合法行政處分，具有法定情形之一者，得由原處分機關依職權廢止，其廢止應自廢止原因發生後幾年內為之？
(A) 2年
(B) 3年
(C) 5年
(D) 15年

(B)488. 合法之授益處分有得廢止之原因者，原處分機關應自廢止原因發生後至遲幾年內廢止該處分？
(A) 1年
(B) 2年
(C) 3年
(D) 4年

(D)489. 行政機關對行政處分有廢止權時，應自廢止原因發生後幾年內為之？
(A) 7年
(B) )5年
(C) 3年
(D) 2年

(C)490. 原處分機關廢止授予利益之合法行政處分後，應予受益人損失補償之情形，下列何者屬之？
(A) 原處分機關保留行政處分之廢止權者
(B) 法規准許廢止者
(C) 為防止或除去對公益之重大危害者
(D) 受益人未履行行政處分所附之負擔者

(C)491. 關於行政處分廢止之敘述，下列何者錯誤？
(A) 廢止係針對合法行政處分
(B) 非授予利益之合法行政處分，行政機關原則上得隨時廢止
(C) 行政機關行使廢止權，應自知有廢止原因起2年內為之
(D) 行政處分之受益人未履行負擔時，該行政處分得因廢止而溯及既往失效

(D)492. 依行政程序法規定，關於行政處分之廢止，下列敘述何者錯誤？
(A) 係行政機關針對合法之行政處分所為之處分
(B) 非授益行政處分之廢止，僅得由原處分機關為之
(C) 非授益行政處分之廢止，無期間之限制
(D) 授益行政處分之廢止，應自知有廢止原因之日起2年內為之

(A)493. 合法行政處分經廢止後，原則上自何時失其效力？
(A) 自廢止時或廢止機關所指定較後之日時起
(B) 完全無效
(C) 立即失效
(D) 得溯及既往失其效力

(D)494. 合法行政處分經廢止後，原則上自廢止時失其效力，但於符合下列何種情形時，得溯及既往失效？
(A) 受廢止之行政處分經法院裁定得溯及既往失效者
(B) 受廢止之行政處分有明顯重大瑕疵
(C) 廢止之行政機關作成行政處分時無重大過失
(D) 受益人未履行負擔致行政處分受廢止者

(B)495. 行政處分經廢止後，其效力如何？
(A) 原則上溯及既往失效
(B) 原則上自廢止時或自廢止機關所指定較後之日時起失效
(C) 由廢止機關裁量溯及既往失效或向將來失效
(D) 一律自廢止時起失效

(D)496. 有關行政處分之撤銷與廢止，下列敘述何者正確？
(A) 撤銷原則上係針對合法之行政處分
(B) 廢止原則上係針對違法或不當之行政處分
(C) 處分之廢止原則上溯及既往
(D) 處分之撤銷原則上溯及既往

(D)497. 關於行政處分之敘述，下列何者正確？
(A) 附負擔之行政處分，受益人未履行該負擔，應由原處分機關為全部或一部之廢止
(B) 合法行政處分經撤銷後，應自撤銷時或自撤銷機關所指定較後之日時起失其效力
(C) 非授予利益之違法行政處分，應由原處分機關為全部或一部之廢止
(D) 受益人未履行負擔致合法行政處分受廢止者1得溯及既往失其效力

(D)498. 在行政程序法中，有關行政處分之「撤銷」與「廢止」之差異，下列何者錯誤？
(A) 行政處分經廢止後，原則上自廢止時起，失其效力
(B) 得撤銷之行政處分，一旦宣告撤銷，該處分溯及既往失其效力
(C) 受益人未履行行政處分所附之負擔者，其廢止得溯及既往失其效力
(D) 撤銷針對合法之行政處分，廢止針對違法之行政處分

(D)499. 依據民國104年新修正之行政程序法，授予利益之行政處分，其內容係提供一次或連續之金錢或可分物之給付者，經撤銷、廢止或條件成就而有溯及既往失效之情形時，下列敘述何者錯誤？
(A) 受益人應返還因該處分所受領之給付
(B) 受益人應返還範圍準用民法有關不當得利之規定
(C) 行政機關依規定請求返還時，應以書面行政處分確認返還範圍，並限期命受益人返還之
(D) 行政機關作成請求返還之行政處分時，應同時移送行政執行

(D)500. 有關行政處分廢止之敘述-下列何者正確？
(A) 授予相對人利益之行政處分，行政機關原則上得隨時廢止
(B) 行政機關廢止非授予利益之行政處分，應給予相對人損失補償
(C) 行政處分經廢止後，原則上溯及既往至行政處分作成時失其效力
(D) 行政處分經廢止後，處分相對人應返還不當受領之給付

(D)501. 依照行政程序法規定，授予利益之行政處分，其內容係提供一次金錢給付者，經行政機關撤銷而有溯及既往失效之情形時，受益人應返還因該處分所受領之給付。此時，行政機關應如何請求返還？
(A) 應向行政法院起訴為之
(B) 應向普通法院起訴為之
(C) 應以書面行政指導為之
(D) 應以書面行政處分為之

(C)502. 行政機關撤銷授予利益之行政處分，進而請求受益人返還原受領之紿，下列敘述何者正確？
(A) 行政機關請求返還之書函性質為觀念通知，得移送行政執行
(B) 受益人拒絕返還時，行政機關應向行政法院提起一般給付訴訟
(C) 行政機關應以書面行政處分確認返還範圍，並限期命其返還
(D) 行政機關請求返還之書函性質為行政處分，且不論行政處分是否已確定，均得移送行政執行

(D)503. 依行政程序法之規定，下列何種行政處分，相對人得依據信賴保護原則請求補償？
(A) 撤銷負擔行政處分
(B) 因未履行負擔而廢止授益行政處分
(C) 因違反法令而廢止授益行政處分
(D) 撤銷違法授益行政處分

(A)504. 行政處分於法定救濟期間經過後，具有下列各款情形之一者，相對人或利害關係人向行政機關申請撤銷、廢止或變更之。其期限之計算申請，應自法定救濟期間經過多久內為之?
(A) 3個月
(B) 3年
(C) 6個月
(D) 5年

(D)505. 行政處分於法定救濟期間經過後，具有下列各款情形之一者，相對人或利害關係人向行政機關申請撤銷、廢止或變更之。應自法定救濟期間經三個月內為之；其事由發生在後者，自發生或知悉時起算。但自法定救濟期間經過後已逾多久，不得申請？
(A) l年
(B) 3年
(C) 6個月
(D) 5年

(D)506. 關於人民依行政程序法第128條申請撤銷原處分之期間，下列敘述何者錯誤？
(A) 原則上應於法定救濟期間經過後3個月內為之
(B) 法定救濟期間經過後已逾5年者，不得申請
(C) 申請事由知悉在法定救濟期間經過後者，應自知悉時起算3個月內為之
(D) 申請事由發生在法定救濟期間經過後者，應自發生時起算5年內為之(正確：但自法定救濟期間經過後已逾宝年者，不得申請。)

(D)507. 行政處分於法定救濟期間經過後，具有下列那種情形，不得由相對人或利害關係人向行政機關申請撤銷、廢止或變更之？
(A) 有持續效力之行政處分所依據之事實事後發生有利於相對人或利害關係人之變更者
(B) 發生新事實或發現新證據者，但以如經斟酌可受較有利益之處分者為限
(C) 其他具有相當於行政訴訟法所定再審事由且足以影響行政處分者
(D) 相對人或利害關係人因重大過失而未能在行政程序或救濟程序中主張其事由者

(D)508. 行政處分於法定救濟期間經過後，具有下列那種情形，相對人或利害關係人向行政機關申請撤銷、廢止或變更之?
(A) 具有持續效力之行政處分所依據之事實事後發生有利於相對人或利害關係人之變更者
(B) 發生新事實或發現新證據者，但以如經斟酌可受較有利益之處分者為限
(C) 其他具有相當於行政訴訟法所定再審事由且足以影響行政處分者
(D) 以上皆是

(A)509. 有關行政處分於法定救濟期間經過後，得重新申請撤銷、廢止或變更之規定，下列敘述何者正確？
(A) 對人發現處分作成後始存在之有利新證據，得申請程序重開
(B) 相對人因重大過失而未能在救濟程序中主張其事由者得申請程序重開
(C) 相對人自法定救濟期間經過後已逾2年者，不得申請程序重開
(D) 程序重開僅限於相對人始得申請

(A)510. 下列何者非行政處分於法定救濟期間經過後，相對人或利害關係人得向行政機關申請撤銷、廢止或變更之情形？
(A) 相對人或利害關係人因重大過失而未能在行政程序或救濟程序中主張其事由者
(B) 具有持續效力之行政處分所依據之事實事後發生有利於相對人或利害關係人之變更者
(C) 發生新事實或發現新證據者，但以如經斟酌可受較有利益之處分者為限
(D) 其他具有相當於行政訴訟法所定再審事由且足以影響行政處分者

(D)511. 依據行政程序法規定，行政處分於法定救濟期間經過後，具有下列各款情形之一者，相對人或利害關係人得向行政機關申請撤銷、廢止或變更之，以下何者為非？
(A) 具有持續效力之行政處分所依據之事實事後發生有利於相對人之變更者
(B) 發生新事實或發現新證據者
(C) 具有相當於行政訴訟法所定再審事由且足以影響行政處分者
(D) 相對人因重大過失而未能在救濟程序中主張其事由者

(C)512. 依據行政程序法規定，行政處分於法定救濟期間經過後，所依據之事實事後發生有利於相對人或利害關係人之變更，如相對人或利害關係人欲向行政機關申請撤銷行政處分，應於法定救濟期間經過後多久內為之？
(A) l個月
(B) 2個月
(C) 3個月
(D) 4個月

(D)513. 行政機關如認為申請行政救濟期間為有理由者，應撤銷、廢止或變更原處分；認申請為無理由或雖有重新開始程序之原因，如認為原處分為正當者，應如何處理？
(A) 不理
(B) 規勸
(C) 變更原處分
(D) 應駁回之

(D)514. 行政機關如認為申請行政救濟期間為有理由者，應如何處理？
(A) 予以賠償損失
(B) 交法院裁定
(C) 交上級機關裁定
(D) 應撤銷、廢止或變更原處分

(B)515. 依行政程序法規定行政處分經撤銷或廢止確定，或因其他原因失其效力後，而有收回因該處分而發給之證書或物品之必要者，應如何處理？
(A) 予以賠償損失
(B) 行政機關得命所有人或占有人返還之
(C) 交法院裁定
(D) 交上級機關決定

(B)516. 行政處分經􆓞銷或廢止確定，或因其他原因失其效力後，而有收回因該處分而發給之證書或物品之必要者，行政機關得命所有人或占有人，如何處理？
(A) 賠償
(B) 返還之
(C) 清償
(D) 支付

(C)517. 依行政程序法第131條規定，公法上之請求權，|於請求權人為行政機關時1，除法律另有規定外，因幾年間不行使而消滅？
(A) 10年
(B) 七年
(C) 五年
(D) 三年

(D)518. 依行政程序法規定，公法上之請求權，於請求權人為人民時，除法律另有規定外，因多久期間不行使而消滅？
(A) 3年
(B) 5年
(C) 7年
(D) 10年

(C)519. 依行政程序法第131條規定，公法上之請求權，除法律另有規定外，於請求權人為行政機關時'因幾年間不行使而消滅？於請求權人為人民時，因幾年間不行使而消滅？
(A) 1年；5年
(B) 2年；5年
(C) 05年；10年
(D) 3年；5年

(C)520. 公法上之請求權，於請求權人為甲行政機關，無法律另有規定，至107年12月31日止已經過4年，甲行政機關於108年7月1日作成為實現該權利之A行政處分，如A行政處分①被撤銷或廢止或其他事由而溯及既往失效時、②不得訴請撤銷或因其他原因失其效力後，則該請求權至何時時效完成而消滅？
(A) ①109年1月1日消滅、②113年12月31日消滅
(B) ①114年1月1日消滅、②118年7月1日消滅
(C) ①109年1月1日消滅、②113年7月1日消滅
(D) ①114年1月1日消滅、②118年12月31日消滅

(D)521. 公法上之請求權，於請求權人假設為稅捐處，無法律另有規定，於111年8月1日已將H1年房屋稅單合法送達欠稅人，依行政程序法第131條規定，該筆欠稅若至何時不移送強制執行其請求權即消滅？
(A) 113年8月1日消滅
(B) 114年8月1日消滅
(C) 115年8月1日消滅
(D) 116年8月1日消滅

(D)522. 公法上之請求權，除法律另有規定外，依據行政程序法規定，於請求權人為人民時，因幾年間不行使而消滅？
(A) 2年
(B) 3年
(C) 5年
(D) 10年

(D)523. 依行政程序法規定，行政機關對人民之公法上請求權因幾年間不行使而消滅？
(A) 一年
(B) 二年
(C) 三年
(D) 五年

(C)524. 關於公法上請求權，下列敘述何者正確？
(A) 公法上之請求權，於請求權人為行政機關時，因3年間不行使而消滅；於請求權人為人民時，因5年間不行使而消滅
(B) 公法上請求權時效完成之法律效果為義務人得為拒絕給付之抗辯，權利並不當然消滅
(C) 公法上請求權消滅時效，應自權利可行使時起算
(D) 公法上請求權時效，因行政機關作成行政處分而中斷；但行政機關若於行政處分作成後6個月內不起訴，視為不中斷

(B)525. 公法上之請求權，因時效完成而當然消滅。請問公法上之請求權，於請求權人為行政機關時，除法律另有規定外，因5年間不行使而消滅；如請求權人為人民時，除法律另有規定外，則是幾年間不行使而消滅？
(A) 5年
(B) 10年
(C) 15年
(D) 8年

(A)526. 依據行政程序法第131條關於公法上請求權時效之規定，下列敘述何者正確？
(A) 公法上請求權，因時效完成而當然消滅
(B) 請求權人為行政機關時，時效為10年
(C) 請求權人為人民時，時效為5年
(D) 請求權時效，不因機關作成行政處分而中斷

(B)527. 依據行政程序法第131條第1項規定，公法上之請求權之消滅時效為下列何者？
(A) 5年
(B) 於請求權人為行政機關時，5年；於請求權人為人民時，10年
(C) 10年
(D) 於請求權人為行政機關時1O年；於請求權人為人民時，5年

(A)528. 下列有關行政程序法消滅時效與除斥期間之敘述，何者錯誤？
(A) 公法上之請求權)於請求權人為人民時，除法律另有規定外，因2年間不行使而消滅
(B) 原處分機關於知有撤銷原因時起2年後，即不得依職權撤銷違法行政處分
(C) 原處分機關於廢止原因發生後2年內，得依職權廢止授予利益之合法行政處分
(D) 公法上之請求權，於請求權人為行政機關時，除法律另有規定外，因5年間不行使而消滅［8131］

(C)529. 關於公法上請求權之時效，下列敘述何者錯誤？
(A) 請求權人得為行政機關或人民
(B) 請求權行使期間，除行政程序法外，其他法律得另為規定
(C) 公法上請求權時效完成後，僅生債務人得拒絕給付之法律效果
(D) 公法上請求權時效得因法定原因而中斷

(C)530. 依行政程序法第131條規定，|行政機關債於|人民之公法上請求|權，因幾年間不行使而消滅？
(A) l年
(B) 3年
(C) 5年
(D) 10年

(D)531. 關於行政契約，依實務見解，下列何者非屬得準用民法之規定？
(A) 契約連帶保證
(B) 違約金賠償
(C) 締約過失責任
(D) 請求權消滅時效

(B)532. 依行政程序法規定行政處分因撤銷、廢止或其他事由而溯及既往失效時，自該處分失效時起，已中斷之時效視為？
(A) 當然無效
(B) 不中斷
(C) 當然有效
(D) 已中斷

(B)533. 依行政程序法規定，因行政處分而中斷之時效，自行政處分不得訴請撤銷或因其他原因失其效力後，其法律效果為何？
(A) 視為不中斷
(B) 重行起算
(C) 當然無效
(D) 視為已中斷，自行政處分不得訴請撤銷或因其

(C)534. 因行政處分而中斷時效之請求權，於行政處分不得訴請撤銷後>其原有時效期間不滿五年者，因中斷而重行起算之時效期間為幾年？
(A) 2
(B) 年3年
(C) 5年
(D) 15年

(D)535. 下列何者係屬於行政契約？
(A) 政府購買辦公用品文具簽定契約
(B) 眷村改建國宅出售而簽定契約
(C) 青年創業之中小企業貸款契約
(D) 交通部監理單位與驗車中心簽定代驗車輛契約

(D)536. 下列何者屬於行政契約？
(A) 主管機關與人民簽訂之國宅租賃契約
(B) 公立大學學生與學校之宿舍租賃契約
(C) 市政府委託民間業者清潔市政大樓之勞務契約
(D) 公立學校與教師間之聘任契約􀀀1H年北區國稅局】

(D)537. 行政機關選擇與人民以合意之方式，相互負擔各自不同之權利義務，以完成行政任務。該合意行為，稱為：
(A) 型政命令
(B) 行政處分
(C) 意思通知
(D) 行政契約

(C)538. 衛生福利部中央健康保險署與醫事服務機構締結之全民健康保險特約之性質為何？
(A) 需相對人同意之行政處分
(B) 私法契約
(C) 行政契約
(D) 行政指導

(B)539. 警校生入學時與學校簽訂之入學志願書，係屬下列何種法律性質？
(A) 私法契約
(B) 行政契約
(C) 行政事實行為
(D) 一般處分

(B)540. 有關行政程序法第136條和解契約之說明，下列何者錯誤？
(A) 和解係指爭議雙方各自退讓以解決爭議
(B) 和解僅得針對事實關係進行，不包括法律關係
(C) 未經機關職權調查，不得締結和解契約
(D) 和解契約之締結，得以代替行政處分之作成

(A)541. 關於行政契約之敘述，下列何者錯誤？
(A) 行政契約發生債務不履行時，行政機關得自為行政處分
(B) 契約內容須不牴觸法律
(C) 須締約之機關有權限
(D) 須依法定方式

(C)542. 下列何者屬於行政程序法所規定之和解契約？
(A) 行政機關委託民間業者經營公立美術館而簽訂之契約
(B) 需用土地機關於申請徵收前與土地所有權人達成之價購協議
(C) 稅捐稽徵機關與納稅義務人就無法查得之課稅原因事實而達成之協議
(D) 行政機關與民間廠商就採購電腦所簽訂之契約

(D)543. 有關行政機關與人民締結雙務契約，下列敘述何者錯誤？
(A) 契約中應約定人民給付之特定用途
(B) 人民之給付有助於行政機關執行其職務
(C) 人民之給付與行政機關之給付應相當
(D) 須事實及法律關係不明確

(C)544. 行政契約之合法要件，下列何者不屬之？
(A) 須締約之機關有權限
(B) 須依法定方式
(C) 契約履行地之約定
(D) 須符合法定程序

(C)545. 依照行政程序法，行政機關原則上是否「應」給予人民陳述意見之規定，下列敘述何者正確？
(A) 行政機關基於調查事實及證據之必要，「應」以書面通知相關之人陳述意見
(B) 行政機關作成限制或剝奪人民自由或權利之行政處分前，「得」給予該處分相對人陳述意見之機會
(C) 行政契約當事人之一方為人民>依法應以甄選或其他競爭方式決定該當事人時，行政機關應事先公告應具之資格及決定之程序。決定前，並「應」予參與競爭者表示意見之機會
(D) 行政機關擬訂法規命令時1「得」於政府公報或新聞紙公告，載明「任何人得於所定期間內向指定機關陳述意見之意旨」

(B)546. 依據行政程序法之規定，下列何種行為原則上應以書面為之？
(A) 行政處分
(B) 行政契約
(C) 行政指導
(D) 陳情

(B)547. 依據行政程序法規定，有關行政契約之效力，下列敘述何者錯誤？
(A) 行政契約準用民法規定之結果為無效者'無效
(B) 行政契約之一部無效者，一部無效
(C) 代替行政處分之行政契約，與其內容相同之行政處分為無效者，無效
(D) 行政契約欠缺無效部分，締約雙方亦將締結契約者，其他部分仍為有效

(C)548. 行政契􇺦當事人一方為人民者，行政機關為防止或除去對公益之重大危害時，應如何處理？
(A) 得於必要範圍內請求損害賠償
(B) 得於必要範圍內解除契約
(C) 得於必要範圍內調整契約內容或終止契約
(D) 得於必要範圍內直接強制執行

(D)549. 行政程序法，行政契約關係之進展，下列敘述何者正確？
(A) 行政契約當事人之一方為人民時，如該契約締結後，因情事重大變更，非當時所得預料，而依原約定顯失公平者，行政機關得逕行終止契約
(B) 行政契約當事人之一方為人民者，行政機關得就相對人契約之履行，依口頭約定之方式，為必要之指導或協助
(C) 行政契約當事人之一方為人民者，其締約後，因締約機關所屬公法人之其他機關於契約關係外行使公權力，致相對人履行契約義務時，顯增費用者'相對人得向締約機關請求於必要範圍內調整契約內容
(D) 行政契約當事人之一方為人民者，行政機關為防止或除去對公益之重大危害，得於必要範圍內調整契約內容或終止契約［105年北區國稅局】

(C)550. 有關行政機關與人民簽定行政契約，為避免公共利益遭受重大危害，行政機關補償契約相對人之人民所遭受財產上之損失後，得為下列何者行為？
(A) 解除契約
(B) 廢止
(C) 終止契約
(D) 撤銷

(D)551. 市政府與人民締結行政契約，約定自願接受強制執行。此一執行係適用下列何種法律之規定？
(A) 行政執行法
(B) 強制執行法
(C) 民事訴訟法
(D) 行政訴訟法

(D)552. 有關行政契約，下列敘述何者正確？
(A) 基於契約自由原則，行政機關締結行政契約可任意選擇締約對象
(B) 原則上，行政契約經當事人互相意思表示一致即成立，無須書面
(C) 代替行政處分之行政契約，無論被代替之行政處分原作成時是否應經其他行政機關核准，行政契約皆於締結時生效
(D) 行政契􇺦約定自願接受執行者，債務人不為給付時，債權人得以該契約為強制執行之執行名義

(D)553. 行政契約約定自願接受執行時，債務人不為給付時，債權人得以該契約為強制執行之執行名義；此時之強制執行，準用哪一部法律有關強制執行之規定？
(A) 民事訴訟法
(B) 刑事訴訟法
(C) 強制執行法
(D) 行政訴訟法

(A)554. 行政程序法中對於行政契約所未規定之事項，應準用何部法律規範？
(A) 民法
(B) 民事訴訟法
(C) 行政執行法
(D) 地方制度法

(C)555. 依行政程序法第一百五十條之規定，行政機關基於法律授權，對多數不特定人民就一般事項所作抽象之對外發生法律效果之規定，為下列何種行政行為？
(A) 行政指導
(B) 行政規則
(C) 法規命令
(D) 對人一般處分

(B)556. 行政行為之對象為不特定多數人，且其內容為一般抽象性規範而具有對外效力者，屬於下列何者？
(A) 行政規則
(B) 法規命令
(C) 行政指導
(D) 行政處分

(A)557. 依據行政程序法規定，有關法規命令之敘述，下列敘述何者正確？
(A) 其發布應刊登政府公報或新聞紙
(B) 係關於機關內部事務分配之一般性規定
(C) 不直接對外發生法規範效力
(D) 為協助下級機關行使裁量權而訂頒之裁量基準

(B)558. 依大法官釋字第742號解釋，對於都市計畫之定期通盤檢討，對原都市計畫之主要計畫或細部計畫所作必要變更，屬於下列何者行政行為？
(A) 行政處分
(B) 法規命令
(C) 行政契約
(D) 行政規則

(C)559. 制定勞動基準法施行細則，其係屬下列何種行政行為？
(A) 行政規則
(B) 行政處分
(C) 法規命令
(D) 行政指導

(B)560. 關於法規命令之敘述，下列何者錯誤？
(A) 其內容應明列法律授權之依據
(B) 行政法院應受法規命令之拘束，無審查權限
(C) 除由行政機關自行草擬者外，其訂定並得由人民或團體提議為之
(D) 其發布應刊登政府公報或新聞紙

(B)561. 依照行政程序法規定，下列行政規則中，何者應由其首長簽署，並登載於政府公報發布之？
(A) 事務分配之行政規則
(B) 法令解釋之行政規則
(C) 業務處理之行政規則
(D) 人事管理之行政規則

(B)562. 依行政程序法規定，關於行政命令訂定程序之敘述，下列何者錯誤？
(A) 法規命令草案之預告，除於政府公報或新聞紙公告，並未禁止以其他方式使大眾知悉草案內容
(B) 任何人均得於指定期間內向指定機關陳述意見，惟利害關係人之意見陳述，訂定機關應舉行聽證予以回應
(C) 法規命令之發布，限於刊登在政府公報或新聞紙，在機關首頁登載並不符合生效要件
